epoch,lr-AdamW,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
,0.001,0,,,,,,,,
0,,49,,,,,0.01132190227508545,,,
0,,99,,,,,0.001128300209529698,,,
0,,149,,,,,0.002228878205642104,,,
0,,199,,,,,0.00260654604062438,,,
0,,249,,,,,0.00028749462217092514,,,
0,,299,,,,,9.221103391610086e-05,,,
0,,349,,,,,0.0028078421019017696,,,
0,,399,,,,,0.0002807825221680105,,,
0,,449,,,,,0.017525583505630493,,,
0,,499,,,,,0.0014137363759800792,,,
0,,549,,,,,0.00022483801876660436,,,
0,,599,,,,,0.00023494244669564068,,,
0,,649,,,,,0.0037768257316201925,,,
0,,699,,,,,0.00020960990514140576,,,
0,,749,,,,,0.0013154151383787394,,,
0,,799,,,,,6.466222839662805e-05,,,
0,,849,,,,,0.00017802149523049593,,,
0,,899,,,,,0.004351125098764896,,,
0,,949,,,,,0.0029453416354954243,,,
0,,999,,,,,0.0017477563815191388,,,
0,,1049,,,,,0.0006375738303177059,,,
0,,1099,,,,,0.009663963690400124,,,
0,,1149,,,,,0.0009758141823112965,,,
0,,1199,,,,,0.0003251219750382006,,,
0,,1249,,,,,0.0003156248130835593,,,
0,,1299,,,,,0.00010100834333570674,,,
0,,1349,,,,,7.005994848441333e-05,,,
0,,1399,,,,,6.0060323448851705e-05,,,
0,,1449,,,,,2.8169757570140064e-05,,,
0,,1499,,,,,0.00011462281690910459,,,
0,,1549,,,,,0.0001907343976199627,,,
0,,1599,,,,,0.004011678975075483,,,
0,,1649,,,,,0.11821161210536957,,,
0,,1699,,,,,0.0011810676660388708,,,
0,,1749,,,,,0.00013436758308671415,,,
0,,1799,,,,,0.00019811891252174973,,,
0,,1849,,,,,0.0002117539115715772,,,
0,,1899,,,,,0.0001075367908924818,,,
0,,1949,,,,,6.821032002335414e-05,,,
0,,1999,,,,,4.466396785574034e-05,,,
0,,2049,,,,,0.00029761920450255275,,,
0,,2099,,,,,0.0014069159515202045,,,
0,,2149,,,,,0.0007052933215163648,,,
0,,2199,,,,,0.001324626849964261,,,
0,,2249,,,,,4.48378523287829e-05,,,
0,,2299,,,,,0.0013865751679986715,,,
0,,2349,,,,,9.689365833764896e-05,,,
0,,2399,,,,,0.00011964960867771879,,,
0,,2449,,,,,1.152680670202244e-05,,,
0,,2499,,,,,6.216674228198826e-05,,,
0,,2549,,,,,1.690786302788183e-05,,,
0,,2599,,,,,0.0011263699270784855,,,
0,,2649,,,,,9.485289410804398e-06,,,
0,,2699,,,,,0.016934264451265335,,,
0,,2749,,,,,5.432219404610805e-05,,,
0,,2799,,,,,2.352040382902487e-06,,,
0,,2849,,,,,0.0011739128967747092,,,
0,,2899,,,,,2.2519352569361217e-05,,,
0,,2949,,,,,32.945404052734375,,,
0,,2999,,,,,0.00036708806874230504,,,
0,,3049,,,,,8.627349598100409e-05,,,
0,,3099,,,,,1.9273949874332175e-05,,,
0,,3149,,,,,0.10372108966112137,,,
0,,3199,,,,,2.8073192879674025e-05,,,
0,,3249,,,,,0.0005979555426165462,,,
0,,3299,,,,,1.3524193491321057e-05,,,
0,,3349,,,,,6.74724651616998e-05,,,
0,,3399,,,,,0.000868639734108001,,,
0,,3449,,,,,4.578706466418225e-06,,,
0,,3499,,,,,2.5404213374713436e-05,,,
0,,3549,,,,,3.974185528932139e-05,,,
0,,3599,,,,,0.022485584020614624,,,
0,,3649,,,,,0.11192377656698227,,,
0,,3699,,,,,0.002490650163963437,,,
0,,3749,,,,,3.0329169021570124e-05,,,
0,,3799,,,,,1.1056739822379313e-05,,,
0,,3849,,,,,0.004865700379014015,,,
0,,3899,,,,,0.14660963416099548,,,
0,,3949,,,,,1.0893829312408343e-05,,,
0,,3999,,,,,0.00010207419836660847,,,
0,,4049,,,,,0.0017316114390268922,,,
0,,4099,,,,,7.942746742628515e-05,,,
0,,4149,,,,,0.00012906691699754447,,,
0,,4199,,,,,4.318669380154461e-05,,,
0,,4249,,,,,4.928364432998933e-05,,,
0,,4299,,,,,4.792217441718094e-05,,,
0,,4349,,,,,0.009889116510748863,,,
0,,4399,,,,,5.527512257685885e-05,,,
0,,4449,,,,,0.00064344477141276,,,
0,,4499,,,,,0.00016884431533981115,,,
0,,4549,,,,,0.00014919396198820323,,,
0,,4599,,,,,6.881028093630448e-05,,,
0,,4649,,,,,7.622584962518886e-05,,,
0,,4699,,,,,4.720817230463581e-07,,,
0,,4749,,,,,0.010401042178273201,,,
0,,4799,,,,,0.7055225968360901,,,
0,,4799,,,,,,,0.36770865321159363,0.04021218419075012
0,,4799,,,,0.3117988109588623,,0.04110175743699074,,
1,,4800,0.1843189001083374,0.032281436026096344,0.08299332112073898,,,,,
